Name,Cuisine,Coordinate
Aladdin Chicken Shawarma,Poulet;Café/Thé;Chinese;Fast Food;Coffee/Tea;Chicken;Prêt-à-manger;Chinois;Asiatique;Asian,"(43.7984738, -79.3182127)"
Aladin Grill,Sandwichs et sous-marins;Canadian;Burgers;Santé;Pizza;Souper;Fait-maison;Wings;Poulet;Ailes;Pub Food;Canadien;Chicken;Pasta;Sandwiches & Subs;Hamburgers;Healthy;Homemade;Pâtes,"(43.6558598, -79.4556316)"
Alan Shish Kabob House,Vegetarian;Santé;Mediterranean;Méditerranéen;Fait-maison;Poulet;Middle Eastern;Végétarien;Chicken;Moyen-Oriental;Healthy;Homemade;International,"(43.7527229, -79.4528603)"
Albaik Pizza Broast & Burger,Sandwichs et sous-marins;American;Canadian;Burgers;Pizza;Wings;Poulet;Ailes;Canadien;Chicken;Sandwiches & Subs;Hamburgers;Américain;International,"(43.8542679, -79.0558104)"
Albert's Real Jamaican Foods,BBQ;Souper;Fait-maison;Poulet;Fruits de mer;Seafood;Diner;Chicken;Barbecue;Homemade,"(43.68288109999999, -79.42073302698361)"
Alberto's Sports Bar & Grill,Sandwichs et sous-marins;Italian;Canadian;Burgers;Grec;Pizza;Mediterranean;Méditerranéen;Poulet;Pub Food;Bistro;Canadien;Chicken;Sandwiches & Subs;Hamburgers;Greek;Italien,"(43.74890922277726, -79.56066722023775)"
Aldo's Restaurant,Péruvien;Poulet;Chicken;Pasta;Peruvian;Desserts;Dessert;Pâtes,"(43.7517899, -79.527247)"
Aleeza's Pizza Halal,Pizza;Mediterranean;Souper;Méditerranéen;Wings;Poulet;Ailes;Pub Food;Bistro;Diner;Halal;Chicken,"(43.6984278, -79.5121845)"
Alexandria Falafel,Fait-maison;Poulet;Middle Eastern;Vegetarian;Végétarien;Chicken;Moyen-Oriental;Homemade;Donair;International,"(43.6417694054, -79.4301862331)"
Alexandros,Sandwichs et sous-marins;American;Vegetarian;Burgers;Grec;Poulet;Pitas;Végétarien;Chicken;Sandwiches & Subs;Hamburgers;Américain;Greek;International,"(43.6782251, -79.3492654)"
Alexandros,Sandwichs et sous-marins;American;Vegetarian;Burgers;Grec;Poulet;Pitas;Végétarien;Chicken;Sandwiches & Subs;Hamburgers;Américain;Greek;International,"(43.641442, -79.375176)"
Alexandros Take-Out,Sandwichs et sous-marins;American;Vegetarian;Burgers;Grec;Poulet;Pitas;Végétarien;Chicken;Sandwiches & Subs;Hamburgers;Américain;Greek;International,"(43.6611362, -79.3788271)"
