,Name,Address,Cusine
370,Fudao noodle house,358 Spadina ave,Chinese; Noodles; Fast Food
371,Dark Horse Espresso,215 Spadina Avenue,Coffee & Tea
372,Bitondos Pizzeria,11 Clinton Street,Pizza; Italian
377,La Vecchia Ristorante,2405A Yonge Street,Italian; Seafood; Venues & Event Spaces
378,Terroni,720 Queen Street W,Italian; Pizza
379,Prohibition Gastrohouse - Queen,696 Queen Street E,Bars; American (Traditional)
380,The Shameful Tiki Room,1378 Queen W,Tiki Bars
381,Piedmont Coffee Bar,66 Isabella Street,Coffee & Tea
382,Wandas Pie In The Sky,287 Augusta Avenue,Bakeries; Desserts; Coffee & Tea
383,Canis,746 Queen Street W,Canadian (New); Wine Bars
384,Kevins Taiyaki,675 Bloor Street,Specialty Food; Asian Fusion; Japanese
385,Light Cafe,23 Baldwin Street,Cafes
386,Banh Mi Boys,2365 Yonge Street,Vietnamese; Asian Fusion
391,Reposado Bar & Lounge,136 Ossington Avenue,Tapas/Small Plates; Music Venues; Cocktail Bars
392,Pomegranate Restaurant,420 College Street,Middle Eastern; Persian/Iranian
393,Lai Wah Heen,Located in DoubleTree by Hilton Hotel Toronto Downtown,Dim Sum
394,Hothouse,35 Church Street,Italian; Bars; Venues & Event Spaces
395,Graffiti Alley,513 Queen Street W,Public Art
396,Pizzeria Via Mercanti,188 Augusta Avenue,Pizza; Italian
397,Gregs Ice Cream,750 Spadina Avenue,Ice Cream & Frozen Yogurt
398,Sushi & BBbop,384 Yonge Street,Sushi Bars; Korean; Japanese
399,Piano Piano,88 Harbord Street,Italian; Pizza
400,Foxley Bistro and Bar,207 Ossington Avenue,Asian Fusion; Tapas Bars
405,Black Canary Espresso Bar,329 Yonge Street,Coffee & Tea
406,Busters Sea Cove,93 Front Street E,Seafood
407,Dirty Food Eatery,3070 Dundas Street W,Breakfast & Brunch; Comfort Food
408,Frankies,994 Queen Street W,Breakfast & Brunch; Diners
409,Mos Mos,25 King Street W,Cafes; Coffee & Tea
410,Kit Kat Italian Bar & Grill,297 King Street W,Italian; Mediterranean
411,Dessert Lady Café,12 Cumberland St,Bakeries; Desserts
412,Evviva Breakfast & Lunch - Downtown Toronto,25 Lower Simcoe,Breakfast & Brunch
413,Rooster Coffee House,343 King Street E,Coffee & Tea; Sandwiches
414,Sud Forno,716 Queen Street W,Italian; Bakeries; Sandwiches
419,Utopia Café & Grill,586 College St,Tex-Mex; Burgers
420,Gushi Japanese Street Food,707 Dundas Street W,Street Vendors; Japanese
421,Lee Chen Asian Bistro,214 King Street W,Dim Sum; Asian Fusion
422,Ozzys Burgers,66 Nassau St,Burgers; Sandwiches; Fast Food
423,Chicas Nashville Hot Chicken,2853 Dundas Street W,Chicken Shop; Southern
424,The Lockhart,1479 Dundas Street W,Bars
425,Holy Chuck,1450 Yonge Street,Burgers
426,Souk Tabule,494 Front Street E,Middle Eastern; Salad; Soup
427,Khmer Thai Restaurant,1018 St Clair Avenue W,Thai; Cambodian
428,JOEY Yorkdale,305 - B 3401 Dufferin St,Canadian (New); Lounges
432,Pinkys Ca Phe,53 Clinton Street,Vietnamese
433,Trinity Bellwoods Park,155 Crawford Street,Parks
434,Bonjour Brioche,812 Queen Street E,Breakfast & Brunch; French
435,Te Aro,983 Queen Street E,Coffee & Tea; Cafes
436,Carousel Bakery,93 Front Street E,Sandwiches; Bakeries
437,Luma,350 King Street W,Canadian (New); Lounges
438,Ill Be Seeing You,747 Queen Street E,Cocktail Bars; Comfort Food
439,Nu Bügel,240 Augusta Avenue,Bagels
440,The Shore Club - Toronto,155 Wellington Street W,Seafood; Steakhouses; Cocktail Bars
441,Restaurant La Banane,227 Ossington Avenue,French; Seafood; Bistros
446,Dolce Gelato,697 College Street,Ice Cream & Frozen Yogurt; Desserts; Coffee & Tea
447,Museum Tavern,208 Bloor Street W,American (Traditional)
448,Guu Izakaya Toronto,1314 Queen Street W,Japanese; Tapas Bars; Sushi Bars
449,Rhum Corner,926 Dundas Street W,Caribbean; Salad; Cocktail Bars
450,Trattoria Taverniti,591 College Street,Italian; Pizza
451,Michaels on Simcoe,100 Simcoe Street,Steakhouses; Italian; Seafood
452,Tokyo Kitchen,20 Charles Street E,Japanese
453,Bobbette & Belle,1121 Queen Street E,Caterers; Bakeries; Desserts
454,Crown Princess Fine Dining,1033 Bay Street,Dim Sum
455,Asian Legend,418 Dundas Street W,Dim Sum
460,Stout Irish Pub,221 Carlton Street,Pubs; Irish
461,The Good Son,1096 Queen Street W,Pizza; Cocktail Bars
462,Communists Daughter,1149 Dundas Street W,Bars
463,Chino Locos Original,4 Greenwood Avenue,Mexican
464,Cibo Wine Bar,522 King Street W,Wine Bars; Italian
465,Smokes Poutinerie,218 Adelaide Street W,Fast Food; Poutineries
466,Frans Restaurant,20 College Street,Diners; Breakfast & Brunch; American (Traditional)
467,Thai Country Kitchen,412 Spadina Ave,Thai; Noodles
468,Utsav,69 Yorkville Ave,Food Delivery Services; Indian
469,Fahrenheit Coffee,529 Richmond Street W,Coffee & Tea
474,Versus Coffee,70 Adelaide Street E,Coffee & Tea
475,Tilt Arcade Bar,824 Dundas Street West,Arcades; Bars
476,Pho Hung,350 Spadina Avenue,Vietnamese
477,Bar Sybanne,229 Ossington Avenue,Mediterranean; Moroccan; Middle Eastern
478,Northwood,815 W Bloor Street,Cafes; Cocktail Bars
479,Doomies Toronto,1346 Queen St W,Vegan; Vegetarian
480,Pearl Harbourfront Chinese Cuisine,207 Queens Quay W,Dim Sum; Seafood; Noodles
481,Death in Venice Gelato,1418 Dundas West,Ice Cream & Frozen Yogurt
482,Istanbul Cafe & Espresso Bar,174 Eglinton Avenue E,Coffee & Tea; Turkish; Internet Cafes
483,Ruths Chris Steak House,145 Richmond Street W,Steakhouses; Seafood; Lounges
488,Fieramosca,36A Prince Arthur Avenue,Italian
489,Suite 114,116 Dundas Street W,Cocktail Bars
490,O.Noir,620 Church St,Canadian (New)
491,The Lakeview,1132 Dundas Street W,Diners; Canadian (New)
492,Poutinis House of Poutine,1112 Queen Street W,Fast Food; Poutineries
493,Madras Masala,796 Bloor Street W,Indian
494,Formocha,55 Eglinton Avenue E,Coffee & Tea
495,W Burger Bar,10 College Street,Burgers; Breakfast & Brunch; Bars
496,Carmen,922 Queen Street W,Spanish
497,Tango Palace Coffee Company,1156 Queen Street E,Coffee & Tea
